,date,incident_info,mean_temperature,min_temperature,max_temperature,total_precipitation,snow_on_ground
1663,2023-05-11,13,10.5,1.9,19.0,0.6,0.0
1664,2023-05-12,31,11.7,2.5,21.0,0.0,0.0
1665,2023-05-13,16,14.7,6.1,23.3,0.0,0.0
1666,2023-05-14,7,14.5,6.8,22.2,0.0,0.0
1667,2023-05-15,20,18.4,9.6,27.1,0.0,0.0
1668,2023-05-16,17,15.0,10.0,20.0,0.0,0.0
1669,2023-05-17,16,13.1,7.5,18.6,0.0,0.0
1670,2023-05-18,22,11.5,2.4,20.6,0.0,0.0
1671,2023-05-19,19,17.0,4.4,29.5,0.0,0.0
1672,2023-05-20,10,18.5,10.2,26.8,0.0,0.0
1673,2023-05-21,15,18.7,9.5,27.9,0.0,0.0
1674,2023-05-22,9,16.0,9.3,22.7,16.8,0.0
1675,2023-05-23,34,13.2,4.9,21.5,0.0,0.0
1676,2023-05-24,11,13.2,7.3,19.1,0.0,0.0
1677,2023-05-25,19,13.1,8.7,17.4,0.0,0.0
1678,2023-05-26,21,12.8,4.3,21.2,0.0,0.0
1679,2023-05-27,17,14.6,5.6,23.6,0.0,0.0
1680,2023-05-28,9,16.4,7.1,25.7,0.3,0.0
1681,2023-05-29,19,17.2,8.5,25.8,0.0,0.0
1682,2023-05-30,21,18.1,10.9,25.4,0.0,0.0
1683,2023-05-31,22,17.1,9.9,24.4,0.0,0.0
1684,2023-06-01,10,9.8,6.5,13.0,0.0,0.0
1685,2023-06-02,28,12.0,3.0,21.1,0.0,0.0
1686,2023-06-03,22,15.5,6.8,24.2,0.0,0.0
1687,2023-06-04,18,18.7,8.6,28.9,0.0,0.0
1688,2023-06-05,24,18.8,12.6,24.9,0.0,0.0
1689,2023-06-06,15,16.1,9.1,23.0,0.0,0.0
1690,2023-06-07,33,18.6,8.2,29.0,0.0,0.0
1691,2023-06-08,29,20.0,10.5,29.6,0.0,0.0
1692,2023-06-09,27,20.2,12.5,27.9,0.0,0.0
1693,2023-06-10,11,18.4,9.7,27.1,0.0,0.0
1694,2023-06-11,7,18.1,13.4,22.7,0.0,0.0
1695,2023-06-12,20,19.7,12.9,26.6,0.0,0.0
1696,2023-06-13,27,21.5,13.2,29.8,5.9,0.0
1697,2023-06-14,18,11.3,5.9,16.8,24.2,0.0
1698,2023-06-15,21,11.7,6.1,17.2,9.6,0.0
1699,2023-06-16,18,15.7,6.8,24.7,0.0,0.0
1700,2023-06-17,14,15.5,8.0,23.1,0.0,0.0
1701,2023-06-18,6,10.1,7.7,12.5,1.9,0.0
1702,2023-06-19,20,9.7,5.6,13.8,1.8,0.0
1703,2023-06-20,20,6.2,5.2,7.2,12.1,0.0
1704,2023-06-21,26,10.1,3.9,16.3,2.9,0.0
1705,2023-06-22,19,11.7,3.3,20.1,0.0,0.0
1706,2023-06-23,28,14.0,5.2,22.8,0.0,0.0
1707,2023-06-24,15,16.5,7.6,25.3,0.0,0.0
1708,2023-06-25,17,15.0,9.7,20.2,0.0,0.0
1709,2023-06-26,21,17.4,10.3,24.6,0.0,0.0
1710,2023-06-27,24,17.6,9.7,25.5,0.9,0.0
1711,2023-06-28,17,18.1,10.2,26.1,1.4,0.0
1712,2023-06-29,32,19.4,9.5,29.3,1.7,0.0
1713,2023-06-30,22,21.3,14.9,27.6,0.0,0.0
1715,2023-07-02,11,13.9,8.1,19.7,0.5,0.0
1716,2023-07-03,10,12.8,6.2,19.3,0.0,0.0
1717,2023-07-04,15,13.0,6.0,20.0,15.6,0.0
1718,2023-07-05,37,15.2,6.2,24.2,0.0,0.0
1719,2023-07-06,29,17.6,11.5,23.7,2.6,0.0
1720,2023-07-07,19,17.7,12.0,23.4,0.0,0.0
1721,2023-07-08,24,18.0,8.6,27.3,0.0,0.0
1722,2023-07-09,7,20.5,11.1,29.9,3.7,0.0
1723,2023-07-10,25,19.3,11.1,27.4,0.9,0.0
1724,2023-07-11,16,15.9,12.4,19.4,0.8,0.0
1725,2023-07-12,32,16.7,10.1,23.4,0.0,0.0
1726,2023-07-13,16,17.9,13.1,22.8,0.0,0.0
1727,2023-07-14,15,17.9,12.5,23.3,0.0,0.0
1728,2023-07-15,22,18.9,12.2,25.5,1.1,0.0
1729,2023-07-16,15,19.7,12.3,27.0,0.0,0.0
